vecino,dia
0,1
1,1
7,1
18,1
2,2
3,2
9,2
27,2
4,3
6,3
10,3
35,3
5,4
19,4
21,4
41,4
8,5
13,5
22,5
25,5
11,6
20,6
26,6
59,6
12,7
14,7
24,7
46,7
15,8
17,8
23,8
37,8
16,9
28,9
40,9
72,9
29,10
33,10
34,10
43,10
30,11
44,11
48,11
63,11
31,12
39,12
47,12
50,12
32,13
54,13
57,13
73,13
36,14
42,14
45,14
65,14
38,15
53,15
58,15
62,15
49,16
51,16
70,16
78,16
52,17
55,17
66,17
79,17
56,18
68,18
75,18
85,18
60,19
69,19
81,19
107,19
61,20
82,20
83,20
84,20
64,21
86,21
87,21
89,21
67,22
90,22
92,22
124,22
71,23
93,23
96,23
114,23
74,24
97,24
102,24
131,24
76,25
101,25
129,25
137,25
77,26
95,26
106,26
130,26
80,27
98,27
112,27
145,27
88,28
100,28
108,28
132,28
91,29
103,29
138,29
150,29
94,30
105,30
144,30
151,30
99,31
109,31
120,31
143,31
104,32
113,32
126,32
154,32
110,33
123,33
147,33
158,33
111,34
116,34
127,34
157,34
115,35
128,35
173,35
181,35
117,36
118,36
135,36
164,36
119,37
146,37
192,37
196,37
121,38
125,38
160,38
169,38
122,39
136,39
165,39
170,39
133,40
161,40
167,40
182,40
134,41
172,41
189,41
220,41
139,42
148,42
162,42
166,42
140,43
168,43
175,43
216,43
141,44
149,44
174,44
197,44
142,45
152,45
201,45
213,45
153,46
163,46
177,46
217,46
155,47
159,47
176,47
185,47
156,48
178,48
180,48
229,48
171,49
179,49
183,49
237,49
184,50
194,50
195,50
236,50
186,51
188,51
209,51
214,51
187,52
198,52
208,52
247,52
190,53
202,53
218,53
248,53
191,54
205,54
210,54
215,54
193,55
206,55
223,55
225,55
199,56
211,56
241,56
266,56
200,57
231,57
249,57
253,57
203,58
221,58
246,58
272,58
204,59
227,59
252,59
262,59
207,60
238,60
257,60
265,60
212,61
219,61
245,61
280,61
222,62
242,62
258,62
276,62
224,63
255,63
263,63
283,63
226,64
228,64
256,64
261,64
230,65
251,65
268,65
305,65
232,66
233,66
264,66
269,66
234,67
243,67
274,67
281,67
235,68
244,68
284,68
286,68
239,69
267,69
277,69
282,69
240,70
285,70
290,70
295,70
250,71
273,71
289,71
300,71
254,72
287,72
309,72
311,72
259,73
275,73
303,73
316,73
260,74
296,74
319,74
321,74
270,75
278,75
293,75
298,75
271,76
302,76
314,76
331,76
279,77
299,77
301,77
325,77
288,78
310,78
315,78
320,78
291,79
304,79
317,79
318,79
292,80
313,80
322,80
323,80
294,81
327,81
337,81
341,81
297,82
330,82
334,82
339,82
306,83
328,83
340,83
343,83
307,84
336,84
344,84
347,84
308,85
329,85
354,85
357,85
312,86
345,86
356,86
359,86
324,87
346,87
351,87
361,87
326,88
332,88
363,88
364,88
333,89
335,89
366,89
368,89
338,90
352,90
358,90
376,90
342,91
360,91
362,91
365,91
348,92
375,92
386,92
390,92
349,93
370,93
387,93
398,93
350,94
353,94
371,94
392,94
355,95
378,95
385,95
403,95
367,96
381,96
412,96
413,96
369,97
373,97
388,97
393,97
372,98
389,98
414,98
422,98
374,99
377,99
417,99
423,99
379,100
383,100
415,100
426,100
380,101
382,101
421,101
428,101
384,102
394,102
425,102
432,102
391,103
395,103
396,103
434,103
397,104
402,104
430,104
442,104
399,105
406,105
419,105
435,105
400,106
431,106
433,106
449,106
401,107
405,107
436,107
445,107
404,108
409,108
437,108
439,108
407,109
438,109
440,109
444,109
408,110
427,110
446,110
447,110
410,111
448,111
450,111
456,111
411,112
455,112
459,112
462,112
416,113
418,113
429,113
466,113
420,114
451,114
460,114
478,114
424,115
441,115
457,115
469,115
443,116
452,116
467,116
471,116
453,117
461,117
465,117
472,117
454,118
468,118
479,118
494,118
458,119
463,119
476,119
491,119
464,120
473,120
477,120
512,120
470,121
474,121
481,121
484,121
475,122
480,122
485,122
492,122
482,123
487,123
490,123
501,123
483,124
493,124
498,124
499,124
486,125
503,125
520,125
521,125
488,126
496,126
500,126
504,126
489,127
509,127
523,127
524,127
495,128
497,128
510,128
519,128
502,129
511,129
528,129
552,129
505,130
506,130
514,130
522,130
507,131
516,131
527,131
530,131
508,132
525,132
533,132
554,132
513,133
534,133
541,133
543,133
515,134
526,134
531,134
538,134
517,135
537,135
539,135
540,135
518,136
535,136
542,136
553,136
529,137
544,137
546,137
548,137
532,138
547,138
550,138
558,138
536,139
549,139
555,139
557,139
545,140
551,140
564,140
572,140
556,141
559,141
560,141
561,141
562,142
563,142
567,142
569,142
565,143
571,143
581,143
584,143
566,144
568,144
570,144
575,144
573,145
578,145
601,145
620,145
574,146
577,146
579,146
607,146
576,147
587,147
591,147
622,147
580,148
583,148
585,148
593,148
582,149
588,149
595,149
603,149
586,150
592,150
596,150
636,150
589,151
597,151
606,151
610,151
590,152
594,152
608,152
621,152
598,153
599,153
609,153
639,153
600,154
605,154
612,154
642,154
602,155
611,155
627,155
645,155
604,156
614,156
618,156
638,156
613,157
615,157
648,157
664,157
616,158
617,158
649,158
650,158
619,159
631,159
637,159
652,159
623,160
626,160
654,160
655,160
624,161
640,161
641,161
665,161
625,162
632,162
646,162
647,162
628,163
630,163
656,163
666,163
629,164
635,164
657,164
661,164
633,165
660,165
662,165
667,165
634,166
671,166
674,166
676,166
643,167
659,167
669,167
675,167
644,168
670,168
673,168
677,168
651,169
678,169
680,169
684,169
653,170
682,170
685,170
695,170
658,171
679,171
697,171
698,171
663,172
672,172
683,172
687,172
668,173
686,173
689,173
706,173
681,174
688,174
696,174
707,174
690,175
691,175
692,175
720,175
693,176
694,176
701,176
716,176
699,177
700,177
704,177
709,177
702,178
705,178
711,178
725,178
703,179
721,179
722,179
736,179
708,180
713,180
714,180
730,180
710,181
712,181
723,181
735,181
715,182
724,182
741,182
748,182
717,183
718,183
743,183
745,183
719,184
728,184
744,184
747,184
726,185
727,185
749,185
750,185
729,186
732,186
740,186
752,186
731,187
733,187
746,187
755,187
734,188
739,188
756,188
759,188
737,189
760,189
770,189
772,189
738,190
757,190
761,190
776,190
742,191
764,191
768,191
777,191
751,192
758,192
774,192
781,192
753,193
762,193
780,193
792,193
754,194
767,194
769,194
784,194
763,195
771,195
793,195
799,195
765,196
775,196
796,196
815,196
766,197
782,197
789,197
807,197
773,198
794,198
795,198
806,198
778,199
798,199
809,199
821,199
779,200
788,200
800,200
813,200
783,201
797,201
810,201
818,201
785,202
790,202
802,202
824,202
786,203
801,203
814,203
820,203
