vecino,dia
0,1
2,1
1,2
3,2
4,3
6,3
5,4
7,4
8,5
10,5
9,6
13,6
11,7
14,7
12,8
15,8
16,9
17,9
18,10
19,10
20,11
21,11
22,12
24,12
23,13
25,13
26,14
27,14
28,15
30,15
29,16
31,16
32,17
33,17
34,18
35,18
36,19
37,19
38,20
39,20
40,21
41,21
42,22
43,22
44,23
45,23
46,24
50,24
47,25
51,25
48,26
49,26
52,27
53,27
54,28
55,28
56,29
57,29
58,30
59,30
60,31
62,31
61,32
64,32
63,33
66,33
65,34
67,34
68,35
69,35
70,36
71,36
72,37
73,37
74,38
75,38
76,39
78,39
77,40
85,40
79,41
81,41
80,42
87,42
82,43
84,43
83,44
86,44
88,45
89,45
90,46
91,46
92,47
93,47
94,48
95,48
96,49
97,49
98,50
104,50
99,51
100,51
101,52
103,52
102,53
106,53
105,54
109,54
107,55
108,55
110,56
111,56
112,57
113,57
114,58
115,58
116,59
117,59
118,60
119,60
120,61
121,61
122,62
123,62
124,63
125,63
126,64
127,64
128,65
129,65
130,66
133,66
131,67
132,67
134,68
135,68
136,69
137,69
138,70
139,70
140,71
141,71
142,72
143,72
144,73
145,73
146,74
147,74
148,75
152,75
149,76
153,76
150,77
154,77
151,78
156,78
155,79
158,79
157,80
159,80
160,81
161,81
162,82
165,82
163,83
164,83
166,84
167,84
168,85
170,85
169,86
171,86
172,87
173,87
174,88
175,88
176,89
177,89
178,90
179,90
180,91
181,91
182,92
183,92
184,93
185,93
186,94
192,94
187,95
188,95
189,96
190,96
191,97
193,97
194,98
200,98
195,99
197,99
196,100
204,100
198,101
201,101
199,102
205,102
202,103
203,103
206,104
207,104
208,105
210,105
209,106
212,106
211,107
214,107
213,108
215,108
216,109
217,109
218,110
219,110
220,111
221,111
222,112
225,112
223,113
224,113
226,114
227,114
228,115
229,115
230,116
232,116
231,117
235,117
233,118
234,118
236,119
237,119
238,120
239,120
240,121
242,121
241,122
243,122
244,123
249,123
245,124
246,125
247,126
248,127
