vecino,dia
0,24
1,17
2,17
3,21
4,25
5,3
6,16
7,17
8,38
9,16
10,18
11,11
12,12
13,11
14,39
15,2
16,2
17,39
18,28
19,34
20,6
21,15
22,22
23,36
24,36
25,24
26,5
27,33
28,13
29,12
30,10
31,7
32,6
33,27
34,34
35,1
36,9
37,20
38,28
39,4
40,5
41,13
42,30
43,17
44,6
45,40
46,7
47,23
48,37
49,4
50,2
51,23
52,20
53,27
54,12
55,10
56,7
57,25
58,29
59,2
60,2
61,1
62,30
63,6
64,13
65,25
66,40
67,13
68,24
69,10
70,24
71,3
72,37
73,28
74,26
75,4
76,35
77,32
78,30
79,9
80,3
81,19
82,27
83,12
84,34
85,9
86,31
87,39
88,16
89,33
90,38
91,6
92,11
93,38
94,25
95,16
96,33
97,14
98,26
99,21
100,39
101,11
102,20
103,36
104,30
105,32
106,34
107,26
108,10
109,1
110,21
111,13
112,3
113,21
114,22
115,18
116,37
117,18
118,4
119,33
120,1
121,18
122,33
123,8
124,19
125,22
126,12
127,15
128,29
129,19
130,14
131,7
132,20
133,40
134,25
135,5
136,33
137,16
138,1
139,35
140,14
141,31
142,22
143,28
144,28
145,26
146,35
147,27
148,30
149,4
150,15
151,35
152,24
153,8
154,15
155,32
156,8
157,36
158,20
159,23
160,26
161,16
162,8
163,5
164,31
165,11
166,32
167,5
168,15
169,40
170,36
171,40
172,8
173,35
174,4
175,3
176,13
177,19
178,1
179,23
180,23
181,32
182,15
183,2
184,35
185,6
186,19
187,18
188,5
189,40
190,23
191,29
192,31
193,14
194,22
195,3
196,29
197,34
198,27
199,10
200,38
201,31
202,7
203,30
204,31
205,38
206,3
207,4
208,2
209,29
210,6
211,5
212,12
213,10
214,18
215,17
216,17
217,21
218,9
219,25
220,8
221,7
222,8
223,22
224,32
225,21
226,39
227,9
228,37
229,27
230,19
231,36
232,38
233,9
234,20
235,11
236,28
237,29
238,24
239,10
240,14
241,7
242,37
243,34
244,1
245,39
246,9
247,26
248,37
249,14
